Topic, Top Word
0,眼睛#4.319398125895105;甘肃省#3.331249500864784;双眼皮#2.331526497987551;身体健康#2.3315225131204316;身穿#2.330994772433007;湖北省#2.32965002746788;贵州省#1.331526210557177;遵义市#1.331526210557177;微胖#1.3216697155578674;江西省#0.37368784965162005;胎记#0.3350159566929174;两个#0.33499231740609914;一块#0.3349581097340475;云南省#0.3348905380563474;身材#0.3346552496221362;河南省#0.3345680192935177;圆脸#0.3345275684191817;酒窝#0.3345096786511283;皮肤#0.33442125048217763;眉毛#0.3341594811028589;头顶#0.33376409050250644;嘴唇#0.33376409050250644;
1,两个#3.3484118484490857;圆脸#3.3307481107200765;一块#2.4194692700195555;嘴唇#2.33221510218931;头顶#2.33221510218931;江西省#2.289869113874466;云南省#1.3486090769620558;胎记#1.3439430423372927;遵义市#1.3337940940132844;贵州省#1.3337940940132844;皮肤#1.3316803623824207;酒窝#1.3204992258789745;眼睛#0.3453852300051541;湖北省#0.3349724099459098;河南省#0.33487534055252544;微胖#0.3348149232765056;身材#0.3346694505648926;身穿#0.334375211293274;眉毛#0.33425343115021916;甘肃省#0.3342340062547874;身体健康#0.3341796119014154;双眼皮#0.33417812751111464;
2,河南省#3.330556640153949;酒窝#2.344991095469883;眉毛#2.331587087746915;身材#2.3306752998129636;微胖#1.343515361165613;皮肤#1.3338983871353873;胎记#1.3210410009697746;两个#1.3165958341448;云南省#1.316500384981582;一块#1.2455726202463824;江西省#0.336443036473899;湖北省#0.3353775625862012;眼睛#0.3352166440997311;圆脸#0.3347243208607335;遵义市#0.33467969542952336;贵州省#0.33467969542952336;身穿#0.33463001627371125;甘肃省#0.33451649288042107;身体健康#0.3342978749781452;双眼皮#0.33429537450132696;头顶#0.33402080730817596;嘴唇#0.33402080730817596;
